iter	Passed	Remaining
0	57	57054
1	57	28767
2	58	19338
3	58	14617
4	59	11782
5	59	9886
6	60	8537
7	60	7528
8	61	6740
9	61	6111
10	62	5594
11	62	5162
12	63	4800
13	63	4489
14	64	4219
15	64	3982
16	65	3773
17	65	3588
18	66	3421
19	66	3269
20	67	3134
21	67	3012
22	68	2899
23	68	2795
24	69	2698
25	69	2609
26	70	2528
27	70	2453
28	71	2381
29	71	2315
30	72	2253
31	72	2194
32	73	2139
33	73	2089
34	73	2040
35	74	1994
36	74	1950
37	75	1910
38	75	1870
39	76	1842
40	77	1811
41	78	1782
42	78	1755
43	79	1725
44	79	1697
45	80	1675
46	83	1698
47	84	1671
48	84	1645
49	85	1618
50	85	1593
51	86	1570
52	86	1549
53	87	1530
54	87	1511
55	88	1493
56	89	1477
57	89	1459
58	90	1443
59	91	1429
60	91	1414
61	92	1400
62	93	1387
63	93	1373
64	94	1360
65	95	1347
66	95	1336
67	96	1317
68	96	1307
69	97	1296
70	98	1286
71	99	1276
72	99	1264
73	100	1253
74	100	1242
75	101	1231
76	102	1226
77	102	1216
78	103	1208
79	104	1196
80	104	1188
81	110	1241
82	111	1232
83	112	1222
84	112	1210
85	112	1200
86	113	1188
87	114	1182
88	114	1174
89	115	1165
90	115	1156
91	116	1147
92	116	1138
93	117	1129
94	117	1120
95	118	1112
96	118	1104
97	119	1098
98	120	1093
99	120	1087
100	121	1079
101	121	1070
102	122	1062
103	122	1055
104	123	1048
105	123	1042
106	124	1035
107	124	1028
108	125	1022
109	125	1016
110	126	1009
111	126	1003
112	127	997
113	127	991
114	128	985
115	128	978
116	128	972
117	129	967
118	129	960
119	130	955
120	130	949
121	131	944
122	131	936
123	131	931
124	132	926
125	132	921
126	133	916
127	133	910
128	134	907
129	134	902
130	135	898
131	135	893
132	136	888
133	136	884
134	137	879
135	137	875
136	138	871
137	138	865
138	139	861
139	139	857
140	140	853
141	140	849
142	141	845
143	141	841
144	142	837
145	142	833
146	143	829
147	143	825
148	143	821
149	144	818
150	144	814
151	145	810
152	145	807
153	146	803
154	146	800
155	147	796
156	147	794
157	148	791
158	149	788
159	149	784
160	149	781
161	150	778
162	150	774
163	151	771
164	151	768
165	152	765
166	152	761
167	153	758
168	153	755
169	154	752
170	154	749
171	154	745
172	155	743
173	155	740
174	156	736
175	156	733
176	157	730
177	157	727
178	157	724
179	158	720
180	158	716
181	158	713
182	159	710
183	159	707
184	159	704
185	160	701
186	161	700
187	162	700
188	162	698
189	163	696
190	164	694
191	164	693
192	165	690
193	165	688
194	166	687
195	167	685
196	167	683
197	169	685
198	169	682
199	171	685
200	171	683
201	172	681
202	173	680
203	173	678
204	174	676
205	175	675
206	175	673
207	177	674
208	177	673
209	178	672
210	179	670
211	179	668
212	180	666
213	180	664
214	181	662
215	182	660
216	182	658
217	183	657
218	183	654
219	184	652
220	184	651
221	185	648
222	185	647
223	186	647
224	187	645
225	188	644
226	188	642
227	189	641
228	189	639
229	190	637
230	191	636
231	191	635
232	192	634
233	193	632
234	193	630
235	194	629
236	195	627
237	195	626
238	196	624
239	196	622
240	197	621
241	197	619
242	198	617
243	198	615
244	199	614
245	200	613
246	200	611
247	201	609
248	201	608
249	202	606
250	202	605
251	203	603
252	203	601
253	204	599
254	204	598
255	205	598
256	206	596
257	207	595
258	207	594
259	208	592
260	208	590
261	209	588
262	209	587
263	209	585
264	210	583
265	210	581
266	211	579
267	211	577
268	211	575
269	212	574
270	212	572
271	213	572
272	214	570
273	214	568
274	215	566
275	215	565
276	215	563
277	216	561
278	216	560
279	217	558
280	217	557
281	218	555
282	218	554
283	219	553
284	219	551
285	220	550
286	220	548
287	221	546
288	221	545
289	222	543
290	222	542
291	223	541
292	223	539
293	224	538
294	224	537
295	225	536
296	226	535
297	226	533
298	227	532
299	227	530
300	228	529
301	228	528
302	228	526
303	229	525
304	229	523
305	230	522
306	230	520
307	231	519
308	231	517
309	232	516
310	232	515
311	233	514
312	233	513
313	234	512
314	235	511
315	235	509
316	236	508
317	236	507
318	237	505
319	237	504
320	237	503
321	238	501
322	238	500
323	239	499
324	239	497
325	240	496
326	240	495
327	241	494
328	241	493
329	242	491
330	242	490
331	243	489
332	243	488
333	244	486
334	244	485
335	245	484
336	245	482
337	245	481
338	246	480
339	247	480
340	248	479
341	248	478
342	249	477
343	250	476
344	250	475
345	251	474
346	251	473
347	251	471
348	252	470
349	252	469
350	253	467
351	253	466
352	253	465
353	254	463
354	254	462
355	255	462
356	256	461
357	256	460
358	257	459
359	257	458
360	258	457
361	259	456
362	259	455
363	260	454
364	261	454
365	261	453
366	262	453
367	263	452
368	264	451
369	264	450
370	265	449
371	265	448
372	265	447
373	266	445
374	266	444
375	267	443
376	267	442
377	268	441
378	268	440
379	269	439
380	270	439
381	271	439
382	271	438
383	272	436
384	272	435
385	273	434
386	273	433
387	274	432
388	274	431
389	274	430
390	275	429
391	276	429
392	277	428
393	278	428
394	279	427
395	279	426
396	280	425
397	280	424
398	281	423
399	281	422
400	282	421
401	283	421
402	284	420
403	285	420
404	285	419
405	286	418
406	286	417
407	287	416
408	287	415
409	287	414
410	288	413
411	288	412
412	289	411
413	290	410
414	290	410
415	291	409
416	291	408
417	292	407
418	293	406
419	293	405
420	294	404
421	294	403
422	295	402
423	295	401
424	295	400
425	296	399
426	297	399
427	299	399
428	300	400
429	301	400
430	303	400
431	304	399
432	304	399
433	305	398
434	305	397
435	306	396
436	306	395
437	307	394
438	307	393
439	308	392
440	308	391
441	309	390
442	309	389
443	310	389
444	311	388
445	311	387
446	312	386
447	312	385
448	313	384
449	313	383
450	314	382
451	314	381
452	315	380
453	315	379
454	316	378
455	317	378
456	318	378
457	318	377
458	319	376
459	319	375
460	320	374
461	320	373
462	321	372
463	321	371
464	322	370
465	322	369
466	323	368
467	323	367
468	323	366
469	324	366
470	325	365
471	326	364
472	326	363
473	327	362
474	327	361
475	327	361
476	328	360
477	328	359
478	329	358
479	329	357
480	330	356
481	331	355
482	331	355
483	332	354
484	333	354
485	334	353
486	334	352
487	334	351
488	335	350
489	335	349
490	336	348
491	336	347
492	337	346
493	337	345
494	338	344
495	338	344
496	339	343
497	340	342
498	340	341
499	341	341
500	341	340
501	341	339
502	342	338
503	342	337
504	343	336
505	343	335
506	344	334
507	344	333
508	345	333
509	346	332
510	347	332
511	347	331
512	348	330
513	349	330
514	349	329
515	349	328
516	350	327
517	350	326
518	351	325
519	351	324
520	352	323
521	352	322
522	353	322
523	354	321
524	354	320
525	354	319
526	355	319
527	356	318
528	356	317
529	356	316
530	357	315
531	357	314
532	358	314
533	359	313
534	362	315
535	362	314
536	363	313
537	363	312
538	364	311
539	364	310
540	365	310
541	366	309
542	366	308
543	367	307
544	368	307
545	369	306
546	369	305
547	369	305
548	370	304
549	370	303
550	371	302
551	371	301
552	372	300
553	372	299
554	373	299
555	374	298
556	374	298
557	375	297
558	375	296
559	376	295
560	376	294
561	377	293
562	377	293
563	378	292
564	378	291
565	378	290
566	379	289
567	379	288
568	380	288
569	380	287
570	381	286
571	381	285
572	382	285
573	383	284
574	383	283
575	384	282
576	384	282
577	385	281
578	385	280
579	386	279
580	386	278
581	386	277
582	387	277
583	388	276
584	388	275
585	389	274
586	389	274
587	390	273
588	390	272
589	390	271
590	391	270
591	391	270
592	392	269
593	392	268
594	392	267
595	393	266
596	393	265
597	394	264
598	394	264
599	394	263
600	395	262
601	395	261
602	396	260
603	396	260
604	397	259
605	397	258
606	398	257
607	398	256
608	399	256
609	399	255
610	400	254
611	400	254
612	401	253
613	401	252
614	403	252
615	403	251
616	404	250
617	404	250
618	405	249
619	405	248
620	406	247
621	406	247
622	407	246
623	407	245
624	408	245
625	408	244
626	409	243
627	409	242
628	410	242
629	410	241
630	411	240
631	411	239
632	412	239
633	412	238
634	413	237
635	413	236
636	414	236
637	414	235
638	415	234
639	415	233
640	416	233
641	417	232
642	417	232
643	418	231
644	418	230
645	419	229
646	419	229
647	420	228
648	420	227
649	421	226
650	421	226
651	422	225
652	422	224
653	423	223
654	423	223
655	424	222
656	424	221
657	425	221
658	425	220
659	426	219
660	426	218
661	427	218
662	427	217
663	427	216
664	428	215
665	428	215
666	429	214
667	429	213
668	430	212
669	430	212
670	431	211
671	432	210
672	432	210
673	432	209
674	433	208
675	433	207
676	434	207
677	434	206
678	434	205
679	435	204
680	435	204
681	436	203
682	436	202
683	437	201
684	437	201
685	438	200
686	438	199
687	438	199
688	439	198
689	440	197
690	440	196
691	440	196
692	441	195
693	441	194
694	441	193
695	442	193
696	442	192
697	443	191
698	445	191
699	446	191
700	447	190
701	447	190
702	448	189
703	448	188
704	449	188
705	449	187
706	450	186
707	450	185
708	451	185
709	451	184
710	452	183
711	452	182
712	452	182
713	453	181
714	454	181
715	454	180
716	454	179
717	455	178
718	455	178
719	456	177
720	456	176
721	456	175
722	457	175
723	457	174
724	458	173
725	458	173
726	459	172
727	459	171
728	460	171
729	461	170
730	461	169
731	461	169
732	462	168
733	463	167
734	463	167
735	464	166
736	464	165
737	465	165
738	465	164
739	466	163
740	466	163
741	467	162
742	468	162
743	469	161
744	470	160
745	470	160
746	471	159
747	471	158
748	472	158
749	472	157
750	473	156
751	473	156
752	473	155
753	475	154
754	475	154
755	475	153
756	476	152
757	476	152
758	477	151
759	477	150
760	477	150
761	478	149
762	478	148
763	478	147
764	479	147
765	479	146
766	480	145
767	480	145
768	481	144
769	482	144
770	482	143
771	483	142
772	483	142
773	484	141
774	484	140
775	484	139
776	485	139
777	485	138
778	486	137
779	486	137
780	487	136
781	487	135
782	488	135
783	488	134
784	490	134
785	491	133
786	491	133
787	492	132
788	493	131
789	493	131
790	494	130
791	494	129
792	495	129
793	496	128
794	497	128
795	497	127
796	498	126
797	498	126
798	499	125
799	499	124
800	500	124
801	500	123
802	501	123
803	502	122
804	502	121
805	506	121
806	516	123
807	520	123
808	521	123
809	522	122
810	523	121
811	524	121
812	525	120
813	526	120
814	527	119
815	531	119
816	532	119
817	533	118
818	534	118
819	535	117
820	536	116
821	536	116
822	537	115
823	541	115
824	542	115
825	543	114
826	543	113
827	545	113
828	546	112
829	547	112
830	547	111
831	548	110
832	548	110
833	549	109
834	549	108
835	550	107
836	550	107
837	551	106
838	551	105
839	551	105
840	552	104
841	552	103
842	552	102
843	553	102
844	553	101
845	554	100
846	554	100
847	555	99
848	557	99
849	558	98
850	558	97
851	559	97
852	559	96
853	560	95
854	560	95
855	561	94
856	561	93
857	562	93
858	562	92
859	562	91
860	563	90
861	564	90
862	564	89
863	565	89
864	565	88
865	566	87
866	566	86
867	567	86
868	567	85
869	568	84
870	568	84
871	569	83
872	570	82
873	571	82
874	571	81
875	572	80
876	572	80
877	572	79
878	573	78
879	573	78
880	573	77
881	574	76
882	574	76
883	575	75
884	575	74
885	576	74
886	576	73
887	576	72
888	577	72
889	578	71
890	578	70
891	579	70
892	579	69
893	579	68
894	580	68
895	580	67
896	581	66
897	581	66
898	582	65
899	582	64
900	583	64
901	583	63
902	583	62
903	584	62
904	585	61
905	585	60
906	586	60
907	586	59
908	587	58
909	588	58
910	588	57
911	589	56
912	589	56
913	589	55
914	590	54
915	590	54
916	591	53
917	591	52
918	592	52
919	592	51
920	593	50
921	593	50
922	594	49
923	594	48
924	595	48
925	595	47
926	595	46
927	596	46
928	596	45
929	597	44
930	597	44
931	598	43
932	598	42
933	599	42
934	600	41
935	600	41
936	600	40
937	601	39
938	601	39
939	602	38
940	602	37
941	602	37
942	603	36
943	603	35
944	604	35
945	604	34
946	604	33
947	605	33
948	605	32
949	606	31
950	606	31
951	607	30
952	607	29
953	608	29
954	608	28
955	609	28
956	609	27
957	610	26
958	610	26
959	610	25
960	611	24
961	611	24
962	612	23
963	612	22
964	613	22
965	614	21
966	614	20
967	615	20
968	615	19
969	616	19
970	616	18
971	617	17
972	617	17
973	617	16
974	618	15
975	618	15
976	619	14
977	619	13
978	620	13
979	620	12
980	621	12
981	621	11
982	621	10
983	622	10
984	622	9
985	623	8
986	623	8
