iter	Passed	Remaining
0	57	57349
1	58	29047
2	58	19535
3	59	14764
4	59	11931
5	60	10019
6	60	8649
7	61	7621
8	61	6821
9	62	6180
10	62	5659
11	63	5241
12	64	4878
13	70	4941
14	70	4651
15	71	4422
16	72	4213
17	73	4019
18	74	3834
19	75	3677
20	75	3521
21	76	3383
22	76	3254
23	77	3136
24	77	3026
25	78	2925
26	78	2837
27	79	2755
28	81	2722
29	81	2647
30	82	2577
31	83	2514
32	83	2453
33	84	2394
34	84	2337
35	85	2289
36	86	2263
37	87	2221
38	88	2182
39	89	2138
40	89	2096
41	90	2055
42	90	2016
43	91	1979
44	91	1944
45	92	1911
46	92	1878
47	93	1856
48	94	1831
49	94	1802
50	95	1780
51	96	1754
52	96	1731
53	97	1707
54	98	1686
55	98	1665
56	99	1642
57	99	1620
58	100	1602
59	101	1583
60	101	1564
61	102	1555
62	103	1539
63	103	1520
64	104	1503
65	105	1487
66	105	1470
67	106	1454
68	106	1437
69	107	1422
70	107	1409
71	108	1396
72	108	1382
73	109	1369
74	109	1355
75	110	1342
76	111	1330
77	111	1318
78	112	1305
79	112	1294
80	113	1282
81	113	1270
82	113	1256
83	114	1249
84	115	1239
85	115	1228
86	116	1219
87	116	1211
88	117	1201
89	117	1192
90	118	1182
91	119	1175
92	119	1166
93	120	1157
94	120	1148
95	122	1148
96	122	1141
97	123	1133
98	123	1125
99	124	1117
100	124	1110
101	125	1102
102	125	1095
103	126	1087
104	126	1080
105	127	1073
106	127	1065
107	128	1060
108	129	1055
109	129	1048
110	130	1042
111	130	1035
112	131	1029
113	131	1023
114	132	1017
115	132	1011
116	133	1004
117	133	998
118	134	992
119	134	987
120	135	982
121	135	976
122	136	972
123	136	967
124	137	962
125	137	957
126	138	951
127	138	945
128	139	941
129	139	936
130	140	931
131	140	926
132	141	921
133	141	917
134	143	916
135	143	912
136	144	908
137	144	904
138	145	900
139	145	896
140	146	892
141	146	887
142	147	883
143	147	879
144	148	875
145	148	871
146	149	868
147	150	867
148	151	863
149	151	859
150	152	856
151	152	852
152	153	848
153	153	844
154	154	840
155	154	838
156	155	835
157	156	832
158	156	829
159	157	826
160	157	822
161	158	820
162	159	817
163	159	815
164	160	811
165	161	809
166	161	805
167	161	802
168	162	799
169	163	796
170	164	795
171	164	792
172	165	789
173	165	787
174	166	784
175	166	781
176	167	778
177	168	776
178	168	774
179	169	771
180	170	772
181	171	770
182	171	767
183	172	764
184	173	762
185	173	759
186	174	756
187	174	753
188	174	750
189	175	747
190	175	744
191	176	741
192	176	738
193	177	736
194	177	734
195	179	734
196	179	731
197	179	728
198	180	725
199	180	722
200	181	720
201	181	718
202	182	716
203	183	714
204	183	712
205	184	709
206	184	708
207	185	706
208	186	704
209	186	702
210	187	700
211	188	698
212	188	696
213	189	694
214	189	691
215	190	689
216	190	687
217	191	685
218	191	682
219	192	680
220	192	679
221	193	677
222	193	674
223	194	672
224	194	670
225	195	668
226	195	666
227	196	663
228	196	661
229	196	659
230	197	656
231	197	654
232	198	652
233	198	650
234	199	648
235	199	646
236	200	644
237	200	642
238	201	640
239	201	637
240	201	635
241	202	633
242	202	631
243	203	629
244	203	627
245	203	624
246	204	623
247	204	620
248	205	618
249	205	616
250	206	615
251	206	613
252	207	612
253	207	610
254	208	608
255	208	606
256	209	604
257	209	602
258	209	600
259	210	598
260	210	596
261	211	594
262	211	592
263	211	590
264	212	589
265	212	587
266	213	585
267	213	583
268	214	582
269	214	580
270	215	578
271	215	576
272	215	575
273	216	573
274	216	571
275	217	569
276	217	567
277	218	566
278	218	564
279	218	563
280	219	561
281	219	559
282	220	557
283	220	556
284	221	555
285	221	554
286	222	552
287	222	551
288	223	549
289	223	548
290	224	546
